algorithm,n,type,time_ms
msd,2100,almost_sorted,2.0012
msd_hybrid,2100,almost_sorted,0.7156
string_merge,2100,almost_sorted,2.2986
std_quick,2200,almost_sorted,8.1288
std_merge,2200,almost_sorted,4.4434
ternary_quick,2200,almost_sorted,2.5676
msd,2200,almost_sorted,2.1164
msd_hybrid,2200,almost_sorted,0.7748
string_merge,2200,almost_sorted,2.4296
std_quick,2300,almost_sorted,8.8306
std_merge,2300,almost_sorted,4.6606
ternary_quick,2300,almost_sorted,2.9582
msd,2300,almost_sorted,2.2874
msd_hybrid,2300,almost_sorted,0.8134
string_merge,2300,almost_sorted,2.563
std_quick,2400,almost_sorted,9.1662
std_merge,2400,almost_sorted,4.8672
ternary_quick,2400,almost_sorted,3.0482
msd,2400,almost_sorted,2.4014
msd_hybrid,2400,almost_sorted,0.853
string_merge,2400,almost_sorted,2.6924
std_quick,2500,almost_sorted,9.3152
std_merge,2500,almost_sorted,5.0818
ternary_quick,2500,almost_sorted,3.5126
msd,2500,almost_sorted,2.5676
msd_hybrid,2500,almost_sorted,0.8984
string_merge,2500,almost_sorted,2.8118
std_quick,2600,almost_sorted,9.7032
std_merge,2600,almost_sorted,5.352
ternary_quick,2600,almost_sorted,3.4092
msd,2600,almost_sorted,2.7244
msd_hybrid,2600,almost_sorted,0.9522
string_merge,2600,almost_sorted,2.9372
std_quick,2700,almost_sorted,10.1006
std_merge,2700,almost_sorted,5.5922
ternary_quick,2700,almost_sorted,3.6174
msd,2700,almost_sorted,2.8654
msd_hybrid,2700,almost_sorted,1.003
string_merge,2700,almost_sorted,3.0318
std_quick,2800,almost_sorted,11.1334
std_merge,2800,almost_sorted,5.8062
ternary_quick,2800,almost_sorted,4.0332
msd,2800,almost_sorted,2.9464
msd_hybrid,2800,almost_sorted,1.0436
string_merge,2800,almost_sorted,3.1694
std_quick,2900,almost_sorted,11.1756
std_merge,2900,almost_sorted,6.0118
ternary_quick,2900,almost_sorted,4.1398
msd,2900,almost_sorted,3.1492
msd_hybrid,2900,almost_sorted,1.0906
string_merge,2900,almost_sorted,3.2858
std_quick,3000,almost_sorted,11.48
std_merge,3000,almost_sorted,6.2948
ternary_quick,3000,almost_sorted,4.3432
msd,3000,almost_sorted,3.2966
msd_hybrid,3000,almost_sorted,1.1574
string_merge,3000,almost_sorted,3.427
std_quick,100,common_prefix,0.9118
std_merge,100,common_prefix,0.5606
ternary_quick,100,common_prefix,0.0962
msd,100,common_prefix,0.71
msd_hybrid,100,common_prefix,0.6266
string_merge,100,common_prefix,0.176
std_quick,200,common_prefix,1.9958
std_merge,200,common_prefix,1.298
ternary_quick,200,common_prefix,0.2018
msd,200,common_prefix,1.2582
msd_hybrid,200,common_prefix,1.0426
string_merge,200,common_prefix,0.3646
std_quick,300,common_prefix,3.1566
std_merge,300,common_prefix,2.1084
ternary_quick,300,common_prefix,0.3022
msd,300,common_prefix,1.7444
msd_hybrid,300,common_prefix,1.4894
string_merge,300,common_prefix,0.5626
std_quick,400,common_prefix,4.2604
std_merge,400,common_prefix,2.953
ternary_quick,400,common_prefix,0.4168
msd,400,common_prefix,2.2054
msd_hybrid,400,common_prefix,1.8874
string_merge,400,common_prefix,0.7614
std_quick,500,common_prefix,5.837
std_merge,500,common_prefix,3.8132
ternary_quick,500,common_prefix,0.5136
msd,500,common_prefix,2.6454
msd_hybrid,500,common_prefix,2.341
string_merge,500,common_prefix,0.9602
std_quick,600,common_prefix,7.0626
std_merge,600,common_prefix,4.7448
ternary_quick,600,common_prefix,0.6062
msd,600,common_prefix,3.1172
msd_hybrid,600,common_prefix,2.7612
string_merge,600,common_prefix,1.1472
std_quick,700,common_prefix,8.4062
std_merge,700,common_prefix,5.4834
ternary_quick,700,common_prefix,0.7206
msd,700,common_prefix,3.5764
msd_hybrid,700,common_prefix,3.1988
string_merge,700,common_prefix,1.3824
std_quick,800,common_prefix,9.8694
std_merge,800,common_prefix,6.3816
ternary_quick,800,common_prefix,0.8256
msd,800,common_prefix,4.0268
msd_hybrid,800,common_prefix,3.6558
